Company,Plan Name,Data Limited,Price,Download Speed,Upload Speed,Technology,Features,Description,Pros,Compatible Modems Link,Plan Link
VMEDIA,Internet 30 Unlimited,Unlimited,$38.95,30 Mbps,5 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Do and see everything you want at download speeds of 30 Mbps - email; social media; video streaming and video-calling. Ideal for small families and moderate internet users. Cable 30 is available in regions of Ontario; Newfoundland and New Brunswick.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 100 Unlimited,Unlimited,$44.95,100 Mbps,30 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Stream with freedom now that you have download speeds of 100 Mbps - HD streaming; online gaming and upload to the Cloud. Stream and download video and music on multiple devices. Great for families with many devices. Cable 100 is available in regions of Ontario; Newfoundland and New Brunswick.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 1024 Unlimited,Unlimited,$89.95,1024 Mbps,50 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Download speed to fuel any experience you need at 1024 Mbps. HD streaming; live gaming and download movies with fast speeds for everyone in your household – all at the same time. Good for families with 8-11 devices. Cable 1024 is available in regions of Ontario; Newfoundland and New Brunswick.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 6 Unlimited,Unlimited,$32.95,6 Mbps,800 Kbps,Technology: DSL,Equipment offer – Save another $45 | $50 credit with VMedia Premium Flex TV,Reliable download speed of 6 Mbps for all your essential internet needs - email; social media; music and surf the internet. Stay connected with no frills and no monthly data caps. DSL 6 is available in regions of Ontario and Quebec.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 15 Unlimited,Unlimited,$44.95,15 Mbps,1 Mbps,Technology: FTTN,Equipment offer – Save another $45 | $50 credit with VMedia Premium Flex TV,Fast download speed of 15 Mbps for email; social media; music and video streaming. Great monthly internet plan for one or two person households. FTTN 15 is available in regions of Ontario and Quebec.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 25 Unlimited,Unlimited,$45.95,25 Mbps,10 Mbps,Technology: FTTN,Equipment offer – Save another $45 | $50 credit with VMedia Premium Flex TV,Do and see everything you want at the fast speed of 25 Mbps -- email; social media; video streaming and video-calling. Ideal for small families and moderate internet users. FTTN 25 is available in regions of Ontario and Quebec.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 50 Unlimited,Unlimited,$47.95,50 Mbps,10 Mbps,Technology: FTTN,Equipment offer – Save another $45 | $50 credit with VMedia Premium Flex TV,Stream with freedom now that you have download speed of 50 Mbps to stream in HD; game online and upload to the Cloud. Stream and download video and music on multiple devices. Great for families with many devices. FTTN 50 is available in regions of Ontario and Quebec.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 150 Unlimited,Unlimited,$63.95,150 Mbps,30 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Download speed to fuel any experience you need at 150 Mbps. HD streaming; live gaming and download movies with fast speeds for everyone in your household – all at the same time. Good for families with 8-11 devices. Cable 150 is available in regions of Ontario; Newfoundland and New Brunswick.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 300 Unlimited,Unlimited,$79.95,300 Mbps,30 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Download speed to fuel any experience you need at 300 Mbps. HD streaming; live gaming and download movies with fast speeds for everyone in your household – all at the same time. Good for families with 8-11 devices. Cable 300 is available in regions of Ontario.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
VMEDIA,Internet 500 Unlimited,Unlimited,$79.95,500 Mbps,30 Mbps,Technology: Cable,Equipment offer – Save another $85 | $50 credit with VMedia Premium Flex TV | Free Modem Rental,Download speed to fuel any experience you need at 500 Mbps. HD streaming; live gaming and download movies with fast speeds for everyone in your household – all at the same time. Good for families with 8-11 devices. Cable 500 is available in regions of Ontario; Newfoundland and New Brunswick.,No Term Contracts | No Hidden Fees | Competitive Pricing | Friendly Support,https://www.vmedia.ca/en/internet/compatible-modems,
Rogers,5G Home Internet2,,$60.00,,,,,,,,
Rogers,Starter,,$75.00 Includes $22/mo savings on a 24 mo term4,100 Mbps,,,,,,,
